מספר זוגות שהתגרשו לפי מקום מגורים של הזוג,,,,,,,,,,,
כרמיה,,2,1,2,1,,4,1,2,3,3
כרמים,,,,,,,,1,,,
כרמל,,,1,,,2,,1,,,
לא רשום,"3,459","3,634","2,719","2,782","2,520",636,25,7,10,2,4
לבון,,,,,,1,,2,2,2,1
לביא,,1,,,,1,,,1,,
לבנים,,,,,1,1,1,1,1,,
להב,,1,,1,,1,1,,2,2,1
להבות הבשן,,1,1,1,2,,1,2,,4,2
להבות חביבה,,,,,,4,,,,1,2
להבים,4,3,6,21,6,13,13,5,8,8,8
לוד,95,119,137,116,140,116,88,105,103,109,105
לוזית,,,,2,,2,2,1,,1,
לוחמי הגיטאות,,1,,,,,1,3,5,4,11
לוטם,,1,1,3,,,3,1,,,1
לוטן,,,,,,1,,,,,
לימן,,2,1,3,2,3,4,4,3,2,3
לכיש,,,,,,1,,3,,1,
לפיד,2,2,2,2,8,4,7,6,4,3,3
לפידות,,,,,,,,,2,1,
מ.א. חוף הכרמל,,,,,,,,3,2,1,3
מאור,1,1,,2,1,9,3,4,2,2,1
מאיר שפיה,1,,,,,,,,1,,1
מבוא ביתר,1,,1,2,3,1,,,1,,3
מבוא דותן,1,,,,,,,1,3,1,
מבוא חורון,1,,,1,,,,1,1,,2
מבוא חמה,,,,,1,,1,,1,,1
מבוא מודיעים,1,1,,,,1,1,,,,
מבועים,1,1,2,4,3,,5,4,4,4,2
מבטחים,,1,,1,1,2,1,,4,,
מבקיעים,,,2,,1,,2,2,,3,
מבשרת ציון,30,37,56,40,53,59,45,75,47,45,56
מגאר,,,,,,,1,,,,
מגדים,,1,3,5,2,2,1,3,1,3,6
מגדל,3,5,4,5,5,2,1,5,2,3,10
מגדל העמק,37,39,68,74,58,58,53,63,68,73,55
מגדל עוז,,1,,,,,,,2,,
מגדלים,,,,,,,1,,1,,
מגידו,,1,1,1,2,,1,,,1,2
מגל,,,1,,4,,2,3,2,1,3
מגן,,,3,,1,,,1,1,,2
מגן שאול,,,,2,,1,4,1,,,1
מגשימים,,1,1,1,1,1,2,3,1,3,1
מדרך עוז,1,1,,,1,,3,2,2,3,4
מדרשת בן גוריון,,1,1,1,,,3,2,,2,
מודיעין עילית,13,13,13,14,23,32,42,38,40,57,42
מודיעין-מכבים-רעות,17,57,119,145,136,168,162,159,161,147,151
מולדת,,1,4,1,1,1,1,,2,,
מוצא עילית,2,,,,2,1,2,,1,,2
מורן,,,2,,1,2,1,,1,,2
מורשת,,,2,,,,,,1,,
מזור,3,1,1,,1,4,3,3,2,4,3
מזכרת בתיה,2,11,25,13,18,23,19,21,24,27,40
מזרע,,,,1,1,,2,,1,2,1
מחולה,,,,,1,,,,1,,
מחנה טלי,,,,,,,,,,2,
מחנה יוכבד,,,,,,,,,,,
מחנה יפה,,,,,,,1,1,1,,
מחנה מרים,,,,,,1,,1,,,
מחנה עדי,,,,,,,,,,1,
מחנה תל נוף,,,,,,1,,,,1,2
מחניים,,,,,,,2,,1,,2
מחסיה,1,,3,,,,1,3,1,1,3
מטולה,3,4,6,4,2,2,4,3,4,6,5
מטע,,,3,1,2,2,3,1,2,2,2
מי עמי,,1,,,1,1,1,,,,2
מיטב,,,1,3,1,3,2,1,3,,1
מיצר,,,,,,,,,,,2
מירון,,1,2,6,1,4,4,2,1,3,3
מישר,,,1,,2,,,2,,1,1
מיתר,18,11,14,13,12,14,18,13,13,11,13
מכורה,1,,,2,1,,1,,,2,
מכמורת,1,3,2,2,4,1,4,2,2,2,
מכמנים,,,1,,,,,,1,,1
מלאה,,1,,,3,,3,2,,2,1
מלילות,,2,1,,3,1,3,1,,,2
מלכיה,,,1,1,2,,1,2,,,2
מלכישוע,,,1,,,,,,,,
מנוחה,,,2,3,,,2,1,2,,1
מנוף,1,,,,2,,1,1,1,,4
מנות,1,,1,4,,3,1,1,,1,
מנחמיה,6,3,,2,6,1,1,1,3,2,5
מנרה,,,1,,,,,,1,,
מסד,,,,1,,1,2,,2,,1
מסדה,,,,2,2,1,1,,,2,
מסילות,,1,2,,,,,2,1,,
מסילת ציון,2,3,2,,,2,,2,1,3,1
מסלול,2,,2,3,3,1,,1,1,2,3
מעברות,,,4,2,4,,3,1,1,3,1
מעגלים,,1,1,4,2,,4,,1,,4
מעגן,,,1,1,2,2,2,,,,
מעגן מיכאל,2,2,3,3,1,1,1,2,2,2,1
מעוז חיים,1,,1,1,1,,,,2,,
מעון,,2,,1,,,,,,,1
מעונה,2,,2,6,2,2,,2,1,2,4
מעין ברוך,,1,,,1,,1,1,,1,
מעין צבי,,,,,1,1,,,2,,1
מעלה אדומים,39,65,78,68,86,71,85,90,101,91,82
מעלה אפרים,1,1,2,1,5,2,3,2,6,2,3
מעלה גלבוע,,,,,,,,,,,2
מעלה גמלא,,,,,,1,1,,,1,1
מעלה החמישה,,,,,,,1,,,,1
מעלה לבונה,1,,,2,,,1,2,,,
מעלה מכמש,,,2,,1,2,1,2,,1,
מעלה עמוס,1,,1,,,,1,2,,1,1
מעלה שומרון,,,2,3,,2,2,1,2,4,2
מעלות-תרשיחא,5,13,39,30,39,35,30,26,20,35,28
מענית,,1,1,2,4,,2,3,1,3,
מעש,,1,2,3,2,1,4,6,7,3,1
מפלסים,1,,2,,5,,1,2,3,1,3
מצדות יהודה,,,,,,,,1,,,
מצובה,,,4,2,,,1,1,1,,6
מצליח,,3,3,6,1,,4,6,2,2,5
מצפה,,,,,7,1,,1,,,
"מצפה אבי""ב",,,,4,2,1,1,1,1,3,
מצפה יריחו,,2,4,2,2,1,2,3,8,,3
מצפה נטופה,,,,,1,1,,1,,,
מצפה רמון,8,8,8,12,12,11,5,4,11,9,11
מצפה שלם,,,,1,3,1,1,,,,
מצר,,,,1,,,2,1,1,,
מקווה ישראל,,,,,,,1,1,,,
מרגליות,,,,,1,,1,1,3,2,1
מרום גולן,,,,,,,1,4,,,
מרחביה (מושב),,1,,,7,2,,,,2,1
מרחביה (קיבוץ),,,,,,1,,1,4,,2
מרכז שפירא,1,,2,2,1,1,1,1,2,1,1
משאבי שדה,,,2,,1,,,4,,1,
משגב דב,,,2,1,2,2,,2,1,,1
משגב עם,,1,,1,,,,,1,,
משואה,1,,1,1,,,,,1,,1
משואות יצחק,,,,,,,,,1,1,1
משמר איילון,,1,1,1,,,2,2,1,1,3
משמר דוד,,,,,,1,,,,,
משמר הירדן,,,1,3,1,3,4,1,2,1,2
משמר הנגב,2,1,,2,,,2,2,2,2,1
משמר העמק,2,,2,2,,,,,,,1
משמר השבעה,1,1,2,3,3,3,1,3,3,2,
משמר השרון,,1,1,1,1,,1,1,1,1,
משמרות,,,,2,3,,2,1,,3,2
משמרת,,,3,2,1,4,1,,5,3,
משען,1,,,2,1,4,,3,4,,3
מתן,4,6,9,9,5,14,3,5,8,5,3
מתת,,,,,1,,,,,,
מתתיהו,,,,1,,1,,,,,
נאות גולן,,,,,,,2,1,1,2,1
נאות הכיכר,,,,,,,1,,,1,
נאות מרדכי,,,,3,1,1,,1,1,,2
נאות סמדר,,,1,1,,,,,1,,2
נאעורה,,,,,,,,,,,
נבטים,1,,1,2,1,3,,2,,1,1
נגבה,,,2,2,1,,,1,3,,
נהורה,,,1,2,9,4,1,4,4,2,5
נהלל,,5,,2,1,1,3,,1,,
נהרייה,20,25,21,22,31,101,138,115,130,119,134
נוב,,,,,,2,,,2,1,1
נוגה,,,,,,1,1,1,3,1,2
נוה,,,,,,,,,,,1
נווה אור,,,1,,,1,,,,3,
נווה אילן,,3,1,1,2,,6,1,2,2,2
נווה איתן,,,,1,,,1,,1,1,
נווה דניאל,,3,1,2,3,3,,1,2,3,2
נווה זוהר,,,,,2,,,1,,1,
נווה זיו,1,,3,1,1,7,,,1,,
נווה חריף,,,,,,,,,,1,
נווה ים,,,2,,1,1,,1,,1,
נווה ימין,,2,4,6,1,6,6,7,7,9,9
נווה ירק,1,1,2,2,4,6,2,4,5,4,2
נווה מבטח,,1,1,2,1,1,,2,1,2,
נווה מיכאל,1,,1,2,1,2,1,,1,,
נועם,,1,,,,1,,,1,1,
נוף איילון,1,1,1,1,,1,5,1,2,,
נופים,,1,2,2,4,3,3,,,1,3
נופית,3,2,4,1,4,6,5,5,4,4,6
נופך,1,1,,,3,1,2,,3,1,2
נוקדים,,2,,1,2,,1,2,4,,1
נורדיה,5,2,2,1,1,3,2,3,,1,7
נחושה,,,,1,,1,,,1,1,
נחל עוז,,,,,,,3,2,,2,
נחלה,,,3,2,,5,2,1,1,1,
נחליאל,,,,,6,1,,2,,,
נחלים,,4,,2,,5,,1,1,5,3
נחם,,,,,,2,2,1,1,1,2
נחשולים,,,1,1,1,1,2,1,2,,2
נחשון,,,,,1,1,,,1,2,1
נחשונים,1,1,,2,3,3,1,,,1,
נטועה,1,1,1,,2,2,,1,1,1,1
נטור,,,,,,,,,,1,
נטעים,,3,1,,1,1,1,2,3,2,4
נטף,,,1,1,,1,1,1,1,,
"ניל""י",,,,,,4,1,3,3,1,1
ניצן,2,,,5,3,4,1,1,4,2,2
ניצן ב',1,,3,,3,2,7,5,8,2,1
ניצנה (קהילת חינוך),,,,,,,1,,,,
ניצני סיני,,,,1,,1,1,,,,
ניצני עוז,1,,6,,2,2,,10,2,1,1
ניצנים,1,1,2,3,1,1,,1,,,1
ניר אליהו,,,,,,,1,1,1,,
ניר בנים,1,1,1,,2,,,1,1,,2
ניר גלים,,,,,1,,,,,,1
ניר דוד (תל עמל),,,,,,2,1,,,1,1
"ניר ח""ן",,,1,1,1,2,,3,1,2,1
ניר יפה,,,,,1,,1,2,1,3,
ניר יצחק,,,1,,1,,2,1,,,1
ניר ישראל,,1,1,,,2,,1,2,4,2
ניר משה,,,2,1,2,,1,1,2,4,
ניר עוז,1,,1,,,2,1,1,,,
ניר עם,,1,1,,,1,,,,,1
ניר עציון,,,,,1,2,,1,1,1,
ניר עקיבא,3,1,,1,1,1,,2,1,,1
ניר צבי,,,3,3,3,4,2,3,4,2,2
נירים,,1,1,,1,,,,,,
נירית,,,,1,,1,,3,4,1,4
נירן,,,,,,,1,,1,,
נס הרים,,,1,,6,1,2,2,9,,2
נס ציונה,23,43,43,70,90,70,88,84,87,93,92
נעורים,,2,,1,,1,,,,,
נעלה,3,2,1,,1,3,,1,3,2,4
"נעמ""ה",,,,,,,1,,,,1
נען,,2,,3,1,2,1,3,,4,1
נצר סרני,,3,,,,3,2,,,2,
נצרת,,5,2,2,,,2,,,,
נצרת עילית,35,50,14,8,9,37,65,55,66,45,41
נשר,30,53,59,56,61,66,71,52,40,68,50
נתיב הגדוד,,,,,,,1,5,,,
"נתיב הל""ה",,,1,4,,,1,2,1,1,1
נתיב העשרה,,1,1,1,3,4,,1,1,,1
נתיב השיירה,,,,,,,,3,1,2,
נתיבות,56,49,51,69,53,58,62,59,60,55,55
נתניה,331,419,380,411,417,432,427,435,465,460,424
סאסא,,,,,,,,,,,
סביון,8,6,13,9,8,6,11,4,6,8,6
סגולה,1,2,4,,2,5,,,2,1,
סוסיה,,,1,,2,2,1,2,2,1,
סופה,,,1,,1,1,,,,,2
סלעית,,,2,2,1,1,2,1,1,,
סמר,,,,1,2,,,,,,
סעד,,,,,,,,,1,1,1
סער,,,2,,1,1,1,1,,1,3
ספיר,,3,1,,2,2,1,2,,,1
סתריה,,3,1,1,6,1,2,,5,2,3
עבדון,,1,1,,,1,1,,3,,
עברון,1,,,2,2,,,1,1,1,
עגור,,1,,2,1,,2,,,,1
עדי,,2,4,2,3,3,3,,7,2,6
עדנים,,,,,,2,1,,1,,1
עוזה,1,,2,,3,2,1,1,2,1,
עולש,,3,4,1,1,3,3,3,1,2,3
עומר,6,17,12,4,13,20,9,19,17,17,16
עופר,,,2,,2,1,,2,1,,4
עופרה,1,2,1,5,2,3,3,,1,6,3
עופרים,1,,2,3,,,,1,,,
עוצם,,1,,1,,1,1,7,5,2,4
עזוז,,,,,,,,,1,,
עזר,,2,,,3,,,2,4,3,3
עזריאל,,,3,1,5,,1,3,,4,1
עזריה,1,,,1,1,3,4,3,2,3,2
עזריקם,2,,3,4,1,4,2,1,2,2,5
עטרת,,,4,,1,1,,,,,
עידן,,,,,,,1,,,1,
עיילבון,,,,,,,,1,,1,
עין איילה,1,,,,,5,2,3,5,1,3
עין גב,,,,3,3,,,1,1,2,
עין גדי,,1,,7,2,2,,,1,,
עין דור,1,,,,,,1,,1,1,2
עין הבשור,,,5,1,1,1,2,1,3,,4
עין הוד,,2,3,,,,,2,,1,
עין החורש,1,1,,,,,1,,1,2,
עין המפרץ,,1,,1,1,2,1,2,3,,1
"עין הנצי""ב",,,1,,1,,,,,1,1
עין העמק,,,5,2,4,4,1,2,3,,1
עין השופט,,1,,1,,1,1,,1,,
עין השלושה,,,,1,,1,1,3,,,1
עין ורד,,2,2,1,3,3,3,1,5,4,2
עין זיוון,,,,,,,,,1,2,
עין חרוד (איחוד),,,,,,,2,3,1,,2
עין חרוד (מאוחד),,,2,,1,,3,,1,2,
עין יהב,,,,,,,1,1,1,,2
עין יעקב,,2,1,,8,1,1,6,2,3,4
עין כרמל,,1,,1,,1,1,2,,,1
עין עירון,2,1,2,1,2,2,1,2,1,,1
עין צורים,,,,,3,2,1,,,2,
עין שמר,,,2,2,1,2,2,,2,1,
עין שריד,2,4,2,3,2,4,3,5,3,5,6
עין תמר,1,,,,,2,,,,1,
עינת,,,1,1,2,,1,1,1,5,1
עכו,80,98,98,88,81,104,99,79,108,87,88
עלומים,,,,1,,,,,1,,
עלי,4,4,2,4,9,4,,1,7,4,3
עלי זהב,1,1,4,8,8,2,2,2,2,,1
עלמה,,,,,3,,2,1,,,1
עלמון,1,1,5,1,2,1,2,2,2,2,
עמוקה,,,,,,,1,1,,,1
עמינדב,1,2,1,2,2,,5,2,2,,
עמיעד,,,1,,,2,,,,1,2
עמיעוז,,,1,,,,2,1,1,,
עמיקם,1,,,3,2,1,,,2,1,1
עמיר,,1,,1,2,2,3,1,1,,1
עמנואל,12,4,20,7,19,18,9,9,18,8,7
עמקה,,,,,1,2,1,3,2,1,1
ענב,,,,1,,,,1,,,1
עספיא,,,,,,,1,,,,1
עפולה,66,70,106,112,120,84,91,86,134,112,89
עץ אפרים,5,1,2,7,3,1,5,2,2,1,5
עצמון-שגב,,,,,,4,,,,,3
ערד,34,40,53,46,37,49,27,36,24,28,26
ערוגות,,2,3,2,6,4,2,2,2,1,1
עשרת,,1,1,3,3,4,,2,,1,1
עתלית,16,15,16,19,14,15,22,12,19,17,21
עתניאל,,,,,,1,,,,,
פארן,,1,,,,,,,,1,
פדואל,2,,,,1,,,,,1,4
פדויים,,1,1,3,,1,,1,2,,2
פדיה,1,,1,2,2,2,,2,1,2,2
פוריה - כפר עבודה,,,1,,1,1,2,,1,1,2
פוריה - נווה עובד,,,1,2,,,5,3,1,7,5
פוריה עילית,,,,,,,1,2,,3,3
פורת,2,,6,,4,4,2,4,4,,2
פטיש,,,,1,,2,3,1,2,1,1
פלמחים,,,2,1,2,,1,,1,,1
פני חבר,,,,,,,1,,,1,
פסגות,3,,5,5,2,5,2,5,,,2
"פעמי תש""ז",,1,1,,2,1,2,,,2,
פצאל,,1,2,1,,,,1,,1,1
פקיעין חדשה,,,2,1,,,1,4,1,2,
פרדס חנה-כרכור,19,36,80,66,75,85,77,94,106,80,81
פרדסיה,5,13,14,27,10,13,14,11,11,8,10
פרוד,,,1,,,1,3,1,,1,1
פרזון,,,1,1,1,,,1,,2,1
פרי גן,,,,,,,,,,,1
פתח תקווה,89,99,75,107,142,371,447,510,445,460,497
פתחיה,,1,,2,1,4,,1,1,1,6
צאלים,,,1,1,,,,,1,,1
צביה,,,1,2,1,,1,,,1,1
צבעון,,,,,,,,,1,,
צובה,,,,2,1,,3,,2,,
צוחר,1,,,,1,4,4,,1,1,2
צופים,,,3,,,1,,8,2,4,3
צופית,2,,7,4,1,2,,1,2,1,5
צופר,,1,,,,,,1,1,,1
צוקי ים,,2,,,,,,,,,
צוקים,,,,,,,,,,,1
צור הדסה,8,5,6,7,8,1,12,11,16,9,10
צור יגאל,,,1,,,,4,,2,1,1
צור יצחק,,3,3,2,1,3,3,2,10,9,12
צור משה,3,,5,8,3,7,1,6,9,5,8
צור נתן,2,,2,,1,,2,,1,2,1
צוריאל,,,,,,2,,,1,2,1
צורית,1,,,,1,,2,3,1,3,
צורן,1,,,,2,,2,1,1,1,
ציפורי,,1,,,,,2,1,3,2,2
צלפון,3,,2,1,4,3,,1,,5,3
צפריה,,,,,1,,,,1,,
צפרירים,2,,3,,1,,1,,,,1
צפת,36,59,74,73,65,64,83,76,92,91,98
צרופה,1,,1,2,1,1,1,5,3,1,4
צרעה,,1,1,,1,2,2,1,1,,1
קבוצת יבנה,,,,,,,,2,,,1
קדומים,3,1,10,6,1,3,2,3,6,1,6
קדימה-צורן,11,2,2,3,10,47,38,40,48,43,45
קדמה,,,,1,,2,,,,,
קדמת צבי,,,,,,,,2,3,1,1
קדר,2,1,3,1,,3,,4,4,7,5
קדרון,,,4,3,8,5,3,2,1,,2
קדרים,,,1,,,,,,,1,
קוממיות,,,,,1,,,,,,
קורנית,1,1,1,,,,,2,1,2,
קטורה,,,2,1,1,1,,,1,,
קיסריה,5,10,16,17,16,24,25,12,17,8,15
קלחים,,,,,3,,1,1,3,1,2
קליה,,,,,1,1,,1,1,1,1
קלע,,,,,,,1,,,,
קציר-חריש,1,3,7,10,7,10,5,10,9,10,7
קצרין,9,16,13,9,13,18,14,11,6,12,19
קריית אונו,13,7,11,11,10,56,51,57,73,78,75
קריית ארבע,6,2,6,4,10,5,18,9,9,11,12
קריית אתא,17,30,32,35,38,92,135,124,132,130,147
קריית ביאליק,16,11,22,27,11,51,112,74,93,99,97
קריית גת,16,24,27,34,45,107,81,110,85,110,108
קריית חיים תאי דואר,,,,,,,,,,1,
קריית טבעון,3,1,4,11,4,20,27,37,26,31,27
קריית ים,9,28,21,18,24,71,92,74,90,94,75
קריית יערים,,,4,2,4,7,1,7,3,4,3
קריית מוצקין,18,12,18,22,13,64,96,91,80,82,105
קריית מלאכי,13,9,17,21,20,44,32,54,60,51,54
קריית נטפים,,,,,,,,4,,2,2
קריית ענבים,,,,,,1,,,1,1,
קריית עקרון,3,7,11,12,11,40,29,29,18,22,35
קריית שמונה,6,4,15,9,9,48,63,54,49,61,58
קרית יערים(מוסד),,,,,,1,,,,,
קרני שומרון,7,15,7,14,17,6,17,12,13,14,16
קשת,,,1,2,,,,,1,,1
ראש העין,76,100,97,115,97,120,105,146,116,94,109
ראש פינה,6,2,1,1,2,5,5,12,8,4,6
ראש צורים,,,,,1,,,,,2,
ראשון לציון,361,452,474,549,518,579,486,518,513,459,466
רבבה,,1,,,,,,1,2,1,
רבדים,,2,2,,,2,,1,,1,
רביבים,,2,1,,1,2,,,2,,
רגבה,,4,1,1,2,,,1,2,3,1
רגבים,,,,1,1,,2,2,1,1,2
רווחה,,,,1,,,4,,1,2,5
רוויה,,,,,,,,2,3,2,1
רוחמה,,,1,,,,1,1,1,,1
רועי,,,,,,,1,1,,,
רותם,,,,,,,,1,,1,
רחוב,,,1,1,1,1,4,1,,,
רחובות,190,240,272,281,257,264,252,256,234,276,266
ריחן,,,2,3,2,,,2,,,1
רימונים,1,1,1,3,3,1,3,1,3,4,1
רינתיה,1,2,2,1,2,2,3,5,4,2,2
רכסים,9,18,14,20,10,14,11,20,12,14,15
רם-און,,1,,,,1,,1,1,2,2
רמות,,,2,,2,3,1,3,1,,1
רמות השבים,2,2,1,3,,1,1,,3,4,3
רמות מאיר,,,3,,1,1,1,1,2,1,2
רמות מנשה,1,1,1,1,1,1,1,1,1,,3
רמות נפתלי,,,,,1,,2,1,1,1,1
רמלה,107,146,134,148,144,142,133,110,138,128,135
רמת גן,231,323,382,354,380,322,312,330,332,285,281
רמת דוד,1,,1,,1,,1,1,2,,
רמת הכובש,1,1,,,,1,2,1,1,1,2
רמת השופט,,1,,2,1,1,1,1,1,,1
רמת השרון,68,69,88,109,97,99,84,98,111,106,84
רמת יוחנן,,,2,1,2,1,,1,,1,1
רמת ישי,7,14,17,13,8,13,14,18,13,13,18
רמת מגשימים,,3,1,,,,,,,1,1
רמת צבי,,,2,,,,,1,,1,
רמת רזיאל,1,2,,1,1,2,1,3,2,,3
רמת רחל,,1,1,1,1,1,,,,,
רנן,2,,1,,,1,2,2,,1,
רעים,,,,,1,1,,,1,,
רעננה,132,129,155,135,153,164,175,166,150,145,160
רקפת,1,2,1,2,,2,,1,1,4,1
רשפון,,4,2,1,3,4,1,1,2,3,1
רשפים,,,2,1,,,1,,,,
רתמים,,1,,1,,1,,,2,,
שאר ישוב,,1,1,2,,4,2,2,,,1
שבי ציון,,2,1,,,4,,4,2,4,1
שבי שומרון,,3,1,1,2,3,,1,1,,
שדה אילן,,,,,,1,,2,,1,
שדה אליהו,,,,,1,1,,,,,
שדה אליעזר,,1,4,5,,2,2,4,3,4,3
שדה בוקר,,1,1,1,,2,1,,1,,
שדה דוד,1,1,,4,2,1,,2,,2,2
שדה ורבורג,2,,7,4,,6,3,6,5,1,4
שדה יואב,,,,,2,,1,,1,,
שדה יעקב,,,1,2,3,1,,1,3,,1
שדה יצחק,,,3,,3,3,4,1,,3,1
שדה משה,,2,,,,5,,,1,,1
שדה נחום,,1,,,1,3,1,3,,1,
שדה נחמיה,1,1,1,5,,1,,2,1,3,2
שדה ניצן,,,,4,,,1,,,,
שדה עוזיהו,1,1,1,,2,1,,1,2,2,1
שדה צבי,,1,2,2,1,,,3,2,1,2
שדות ים,,,2,1,1,,,1,1,,
שדות מיכה,,,2,,,5,3,4,2,1,
שדי אברהם,,,,,,,1,,,1,
שדי חמד,1,1,,2,4,2,2,3,3,2,4
שדי תרומות,,,3,,,,,1,,2,
שדמה,,,1,1,,,,1,1,,3
שדמות דבורה,,,4,1,2,1,,,3,2,1
שדמות מחולה,,,,,,,,,,1,
שדרות,32,47,45,60,64,55,48,46,58,50,46
שואבה,1,1,1,3,3,,1,1,1,1,
שובה,,,1,2,1,4,1,1,1,2,1
שובל,,,3,3,1,,1,1,,1,
שוהם,14,19,16,43,41,36,42,42,42,35,54
שומרה,,1,1,1,1,1,1,,5,5,
שומריה,,,,,,1,1,,,,1
שוקדה,,1,,1,1,1,,1,,1,1
שורש,,,,3,2,4,1,1,3,2,10
שורשים,,,,,1,,,2,,1,
שושנת העמקים (רסקו),1,,,,,,1,1,,1,1
שזור,,1,,,2,1,,1,1,1,
שחר,1,,1,1,1,,2,1,1,1,1
שיבולים,,,6,1,,,1,1,1,1,2
שילה,2,3,3,1,,2,7,4,1,4,6
שילת,1,,1,4,1,1,1,,1,2,1
שכניה,,1,4,,1,,,3,1,1,2
שלווה,,,,,,,1,,1,1,4
שלוחות,,,,1,,,1,,3,,1
שלומי,6,12,9,28,28,26,25,27,23,17,20
שמיר,2,,1,1,,,1,1,,,
שמעה,,,1,2,1,1,3,1,,1,2
שמרת,,,,1,,,,,2,1,
שמשית,,1,1,2,,2,5,5,4,6,10
שני,1,,,1,,1,,1,1,,
שניר,1,,,3,1,4,1,1,,2,1
שעל,,,1,,,1,2,2,1,,1
שעלבים,1,1,,,,1,,,,,
שער אפרים,1,3,6,2,5,5,7,5,2,6,5
שער הגולן,,,,2,1,2,1,1,,,
שער העמקים,,1,,,6,,,,1,2,
שער מנשה,,1,,,,,,,,,
שערי תקווה,5,3,18,20,11,9,20,12,12,8,13
שפיים,,1,3,1,2,3,3,1,1,2,1
שפיר,,,1,,,,,,1,1,
שפר,,,1,1,,,2,,,1,
שקד,,,1,2,2,3,2,,3,3,2
שקף,1,,,1,,,,4,2,1,3
שרונה,,1,2,,1,,,,,3,1
שריגים (לי-און),,,,,,3,1,2,1,4,3
שריד,1,1,1,3,,,2,1,1,1,
שרשרת,,,1,,,,2,,1,,2
שתולה,,,,3,,,2,1,1,,2
שתולים,3,2,5,4,4,5,6,5,3,3,2
תאשור,,,3,1,1,1,2,3,2,1,
תדהר,,,1,1,1,,,,,1,
תובל,,,,,1,,1,1,1,,1
תומר,,,2,,1,2,1,,,1,
תושיה,,,,,,,,,1,,
תימורים,,,2,2,4,,,1,1,2,3
תירוש,,,,2,2,2,1,,1,2,2
תל אביב יפו,121,165,168,187,211,836,922,901,832,826,832
תל יוסף,,,,2,,,1,1,2,2,1
תל יצחק,1,1,1,,5,,2,2,,,
תל מונד,17,23,23,21,29,29,25,26,31,33,22
תל עדשים,,,,4,1,4,3,,2,1,3
תל קציר,,2,,,,,1,1,,,
תל תאומים,,,,1,,,3,,,1,3
תלם,1,,,,3,1,2,1,,1,
תלמי אליהו,,,,1,1,,1,,,,1
תלמי אלעזר,1,,,1,,1,2,1,4,2,
"תלמי ביל""ו",,1,,2,5,2,,,,,1
תלמי יוסף,,,,,,,,,,,1
תלמי יחיאל,1,,2,,1,3,2,1,2,2,2
תלמי יפה,,,,2,,,3,2,3,,2
תלמים,,,2,2,1,,,1,1,3,3
תמרת,1,2,1,4,3,2,4,3,2,3,2
תנובות,,5,2,3,5,6,3,1,1,5,3
תעוז,,,3,,,,,1,1,,
תפרח,,3,2,1,,1,3,1,1,2,1
תקומה,,,,,3,,,,2,,
תקוע,,2,1,2,2,4,3,6,6,2,8
תרום,,1,4,3,2,3,3,,,,1
סכום כולל,"9,337","10,926","11,059","11,689","11,361","11,097","11,056","11,116","11,515","11,109","11,127"
